aarónico	 1. adj. Perteneciente o relativo a Aarón, personaje bíblico, hermano de Moisés. 
aladrar	 1. tr. Ar., Burg. y Cantb. arar2. 
aladrero	 1. m. Carpintero que construye y repara arados, aperos de labranza, carros, etc. 2. m. Carpintero que labra las maderas para la entibación de las minas. 
aladro	 1. m. Ar. y Nav. arado. 
aladroque	 1. m. boquerón (‖ pez teleósteo). 
alafa	 1. f. ant. Salario, sueldo. 
alafia	 1. f. coloq. Gracia, perdón, misericordia. Pedir alafia 
alagadizo	 1. adj. desus. Dicho de un terreno: Que fácilmente se encharca. 
alagar	 1. tr. Llenar de lagos o de charcos. U. t. c. prnl. 
alagartado	 1. adj. Semejante, por la variedad de colores, a la piel del lagarto. 2. adj. C. Rica y Hond. acaparador. 3. adj. peyor. Hond. Dicho de una persona: oportunista. 
alagartarse	 1. prnl. C. Rica, Guat., Hond. y Nic. Hacerse avaro u obrar con avaricia. 2. prnl. C. Rica. acaparar. 3. prnl. El Salv. Abalanzarse con impaciencia y precipitación sobre algo. 4. prnl. Méx. Dicho de una bestia: Bajarse apartando los cuatro remos, de suerte que disminuya de altura y facilite al jinete montarla. 
alaguna	 1. f. desus. laguna. 
alahílca	 1. f. ant. Colgadura o tapicería para adornar las paredes. 
alajor	 1. m. Tributo que se pagaba a los dueños de los solares en que estaban edificadas las casas. 
alalimón	 1. m. al alimón. 
alama	 1. f. Planta leguminosa, de tallo no espinoso y de un metro aproximadamente de altura, hojas inferiores pecioladas, sésiles las superiores, y flores amarillas. Sirve para pasto del ganado. alama2. 1. adj. Se dice del individuo de un pueblo amerindio de la familia quichua, que habita en la región amazónica de Ecuador. U. t. c. s. 2. adj. Perteneciente o relativo a los alamas. 
alamar	 1. m. Presilla y botón, u ojal sobrepuesto, que se cose, por lo común, a la orilla del vestido o capa, y sirve para abotonarse, o meramente para gala y adorno o para ambos fines. 2. m. cairel (‖ guarnición a modo de fleco). 3. m. Méx. Especie de pan dulce. 
alambicado	 1. adj. sutil (‖ agudo, perspicaz). 2. adj. Complicado, rebuscado. Razonamiento, concepto alambicado. 3. adj. p. us. Dado con escasez y muy poco a poco. 
alambicamiento	 1. m. Acción y efecto de alambicar. 
alambicar	 1. tr. destilar (‖ en alambique). 2. tr. Examinar atentamente una palabra, un escrito, una acción, etc., hasta apurar su verdadero sentido, mérito o utilidad. 3. tr. Sutilizar o complicar excesivamente el lenguaje, el estilo, los conceptos, etc. 4. tr. coloq. Reducir todo lo posible el precio de una mercancía aviniéndose a ganar poco por unidad. 
alambique	 1. m. Aparato que sirve para destilar o separar de otras sustancias más fijas, por medio del calor, una sustancia volátil. Se compone fundamentalmente de un recipiente para el líquido y de un conducto que arranca del recipiente y se continúa en un serpentín por donde sale el producto de la destilación. U. t. en sent. fig. 2. m. And. y Am. Fábrica de aguardiente. por ~. 1. loc. adv. Con escasez o muy poco a poco. 
alambor	 1. m. Arq. Falseo de una piedra o madero. 2. m. Mil. Escarpa o declive áspero. alambor2. (Quizá del cat. *el ambor, sing. de *els zambors, y este del ár. hisp. azzanbú‘). 1. m. Variedad del naranjo. 
alamborado	 1. adj. Que tiene alambor1. 
alambrada	 1. f. Cerca de alambres afianzada en postes para impedir el paso. 2. f. Mil. Red de alambre de espino que se emplea en campaña para impedir o dificultar el avance de las tropas enemigas. 
alambrado	 1. m. alambrera. 2. m. alambrada (‖ cerca de alambres). 
alambrar	 1. tr. Cercar un sitio con alambre. 2. tr. Poner los cencerros a una yeguada, a una recua o a una parada de cabestros. alambrar2. (De horambre, agujero). 1. intr. impers. Aclarar, despejarse el cielo. 
alambre	 1. m. Hilo de cualquier metal, obtenido por trefilado. 2. m. Conjunto de cencerros, campanillas, etc., de una recua o hato de ganado. 3. m. Méx. Comida constituida por trozos de carne ensartados en un pincho y asados. 4. m. desus. Cobre y sus dos aleaciones, bronce y latón. 5. m. pl. Dedos de la mano. ~ conejo. 1. m. El de hierro o latón con que se hacen lazos para cazar conejos. ~ dulce. 1. m. Cuba. alambre flexible, apropiado para embalar mercancías. las de ~. 1. f. pl. El Salv. piernas (‖ extremidades inferiores de las personas). patear el ~. 1. loc. verb. El Salv. emborracharse (‖ beber hasta trastornarse los sentidos). □ V. cable de alambre 
alambrear	 1. intr. Dicho de una perdiz: Tocar con el pico los alambres de la jaula. 
alambrera	 1. f. Red de alambre que se pone en las ventanas y otras partes. 2. f. Cobertera de red de alambre, generalmente en forma de campana, que por precaución se pone sobre los braseros encendidos. 3. f. Cobertera de red de alambre muy espesa, y generalmente en forma de media naranja, que sirve para cubrir y preservar los alimentos. 
alambrilla	 1. f. olambrilla. 
alameda	 1. f. Sitio poblado de álamos. 2. f. Paseo con álamos. 3. f. Paseo con árboles de cualquier clase. 
alamín	 1. m. Juez de riegos. 2. m. Oficial que en lo antiguo contrastaba las pesas y medidas y tasaba los víveres. 3. m. Alarife diputado en lo antiguo para reconocer obras de arquitectura. □ V. alcalde alamín 
alamina	 1. f. Multa que pagaban en Sevilla los olleros por lo que se excedían en la carga de los hornos al cocer sus vasijas. 
alaminazgo	 1. m. Oficio de alamín. 
alamirré	 1. m. En la música antigua, indicación del tono que principia en el sexto grado de la escala diatónica de do y se desarrolla según los preceptos del canto llano y del canto figurado. 
alampar	 1. intr. vulg. Ál. picar (‖ excitar el paladar). 2. prnl. Tener ansiedad por el logro de algo. 
alamud	 1. m. Barra de hierro, de base cuadrada o rectangular, que servía de pasador o cerrojo para asegurar puertas y ventanas. 
alanceador	 1. adj. Que alancea. U. t. c. s. 
alancear	 1. tr. Dar lanzadas. 2. tr. desus. zaherir. 
alandrearse	 1. prnl. Dicho de un gusano de seda: Ponerse seco, tieso y blanco. 
alangiáceo	 1. adj. Bot. Se dice de los árboles angiospermos dicotiledóneos, originarios de países cálidos del antiguo continente, con hojas alternas y enteras, flores axilares, fruto en drupa aovada con semillas de albumen carnoso; p. ej., el angolán. U. t. c. s. 2. f. pl. Bot. Familia de estas plantas. ORTOGR. Escr. con may. inicial. 
alangieo	 1. adj. Bot. alangiáceo. 
alano	 1. adj. Se dice del individuo de un pueblo germánico que, en unión con otros, invadió España en los principios del siglo V. U. t. c. s. 2. adj. Perteneciente o relativo a este pueblo. 3. m. perro alano. 
alantoides	 1. adj. Biol. Se dice de un órgano en forma de saco o de salchicha, que como membrana extraembrionaria, originada del intestino en los embriones de reptiles, aves y mamíferos, funciona en ellos como vejiga urinaria. U. m. c. s. □ V. membrana alantoides 
alanzar	 1. tr. Dar lanzadas. 2. tr. lanzar. 3. intr. En cierto juego antiguo de caballería, tirar o arrojar lanzas a una armazón de tablas. 
alaqueca	 1. f. p. us. cornalina. 
alaqueque	 1. m. p. us. cornalina. U. m. en pl. 
alar	 1. m. alero (‖ del tejado). 2. m. Percha de cerdas para cazar perdices. U. m. en pl. 
alárabe	 1. adj. árabe. Apl. a pers., u. t. c. s. 
alarbe	 1. adj. árabe. Apl. a pers., u. t. c. s. 2. m. Hombre inculto o brutal. U. m. en el panocho murciano. 
alarconiano	 1. adj. Perteneciente o relativo a Juan Ruiz de Alarcón, o a Pedro Antonio de Alarcón, o a su obra. La obra alarconiana 2. adj. Característico de estos escritores españoles o de su obra. Un estilo muy alarconiano 
alarde	 1. m. Ostentación y gala que se hace de algo. 2. m. revista (‖ inspección que hace un jefe). 3. m. Desfile, principalmente militar. 4. m. Formación militar en que se pasaba revista o se hacía exhibición de los soldados y de sus armas. 5. m. Lista o registro en que se inscribían los nombres de los soldados. 6. m. Der. Relación de asuntos pendientes de resolución que se elabora normalmente al cesar un juez o el presidente de un tribunal. 7. m. p. us. Entre colmeneros, reconocimiento que las abejas hacen de su colmena al tiempo de entrar o salir. □ V. caballero de alarde 
alardear	 1. intr. Hacer alarde. 2. intr. Hacer ostentación, presumir de algo. Alardea de inteligencia. 
alardoso	 1. adj. ostentoso. 
alargadamente	 1. adv. m. extensamente. 
alargadera	 1. f. Pieza que, acoplada a una cosa, sirve para alargarla. 2. f. Quím. Tubo de vidrio con un ensanchamiento en su mitad anterior, que se adapta al cuello de los matraces en la destilación. 3. f. Ar. Sarmiento amugronado, o que deja de podarse para amugronarlo. 
alargador	 1. adj. Que alarga. 2. m. Pieza, instrumento o dispositivo que sirve para alargar. 
alargamiento	 1. m. Acción y efecto de alargar o alargarse. 
alargar	 1. tr. Dar más longitud a algo. U. t. c. prnl. 2. tr. Dar mayor extensión a algo, dilatarlo, ensancharlo. 3. tr. Aplicar o alcanzar a nuevos objetos o límites una facultad o actividad. 4. tr. Estirar, desencoger. 5. tr. Aplicar con interés el sentido de la vista o del oído. 6. tr. Prolongar algo, hacer que dure más tiempo. U. t. c. prnl. 7. tr. Retardar, diferir, dilatar en el tiempo. U. t. c. prnl. 8. tr. Alcanzar algo y darlo a alguien que está apartado. 9. tr. Ceder o dejar a alguien lo que uno tiene. 10. tr. Alejar, desviar, apartar. U. t. c. intr. y m. c. prnl. 11. tr. Dar cuerda o ir soltando poco a poco algún cabo, maroma o cosa semejante. 12. tr. Hacer que adelante o avance alguna gente. 13. tr. Aumentar la cantidad o número señalado. Alargar el salario, el sueldo, la ración. 14. prnl. Excederse, salirse del justo límite en elogios, ofertas, dádivas, etc. 15. prnl. Ir a un sitio algo más lejano del que antes se pensó. 16. prnl. Mar. Dicho del viento: Mudar de dirección inclinándose a popa. 
alargas	 1. f. pl. Sal. Confianza o correspondencia excesivas. Tomarse muchas alargas. 
alarguez	 1. m. Nombre que se ha dado a varias plantas espinosas, especialmente al agracejo y al aspálato. 
alaria	 1. f. Chapa de hierro, como de 20 cm de largo y 2 ó 3 de ancho, con las dos puntas triangulares y dobladas a escuadra, en sentido inverso. La usan los alfareros para pulir y adornar en el torno las vasijas de barro. 
alarida	 1. f. gritería. 
alaridar	 1. intr. desus. Dar alaridos. 
alarido	 1. m. Grito lastimero en que se prorrumpe por algún dolor, pena o conflicto. 2. m. Grito fuerte o estridente. U. t. en sent. fig. 3. m. Grito de guerra de la tropa al entrar en batalla. 4. m. desus. Grito de alegría. 
alarifazgo	 1. m. Oficio de alarife. 
alarife	 1. m. Arquitecto o maestro de obras. 2. m. En minería, albañil. 3. com. Arg. y Ur. Persona astuta y pícara. 4. adj. Ur. Jactancioso, seguro de sí mismo. 
alarije	□ V. uva alarije 
alarma	 1. f. Aviso o señal que se da en un ejército o plaza para que se prepare inmediatamente a la defensa o al combate. 2. f. Aviso o señal de cualquier tipo que advierte de la proximidad de un peligro. Se oyeron gritos de alarma. 3. f. Mecanismo que, por diversos procedimientos, tiene por función avisar de algo. Conectamos la alarma. 4. f. rebato (‖ convocación de los vecinos con el fin de defenderse cuando sobreviene un peligro). 5. f. Inquietud, susto o sobresalto causado por algún riesgo o mal que repentinamente amenace. □ V. estado de alarma 
alarmador	 1. adj. p. us. alarmante. 
alarmante	 1. adj. Que alarma. 
alarmar	 1. tr. Asustar, sobresaltar, inquietar. U. t. c. prnl. 2. tr. Dar alarma o incitar a tomar las armas. 
alármega	 1. f. alhárgama. 
alarmista	 1. adj. Dicho de una persona: Que hace cundir noticias alarmantes. U. t. c. s. 2. adj. Que causa alarma. Noticia alarmista. 
alaroz	 1. m. Larguero fijo que divide el hueco de una puerta o ventana. 
alaroza	 1. f. ant. novia (‖ mujer recién casada). 
alastrar	 1. tr. Dicho de algunos animales: Echar atrás las orejas. 2. prnl. Dicho de un ave o de otro animal: Tenderse contra la tierra para no ser descubierto. 
alatar	 1. m. desus. Vendedor de perfumes, o de drogas y especias. 
alaterno	 1. m. aladierna. 
alatés	 1. m. germ. Criado o mozo de un rufián o ladrón. 
alatinadamente	 1. adv. m. Según la lengua latina, o conforme a ella. 
alatinado	 1. adj. Dicho con pulcritud afectada, o al modo latino. 
alatonero	 1. m. Ar. almez. 
alatrón	 1. m. espuma de nitro. 
alauda	 1. f. desus. alondra. 
alaude	 1. f. desus. alondra. 
alavanco	 1. m. lavanco. 
alavense	 1. adj. alavés. Apl. a pers., u. t. c. s. 
alazán	 1. adj. Dicho de un color: Más o menos rojo, o muy parecido al de la canela. Hay variedades de este color, como alazán pálido o lavado, claro, dorado o anaranjado, vinoso, tostado, etc. U. t. c. s. 2. adj. Dicho especialmente de un caballo o de una yegua: Que tiene el pelo alazán. U. t. c. s. 
alazo	 1. m. Golpe que dan las aves con el ala. 
alazor	 1. m. Planta anual de la familia de las Compuestas, de medio metro de altura, con ramas espesas, hojas lanceoladas y espinosas, flores de color azafrán que se usan para teñir, y semilla ovalada, blanca y lustrosa, que produce aceite comestible y sirve también para cebar aves. 
alba	 1. f. V. albo. albo, ba. (Del lat. albus). 1. adj. blanco. U. m. en leng. poét. 2. f. amanecer2. 3. f. Primera luz del día antes de salir el Sol. 4. f. Último de los cuartos en que para los centinelas se dividía la noche. 5. f. Vestidura o túnica de lienzo blanco que los sacerdotes, diáconos y subdiáconos se ponen sobre el hábito y el amito para celebrar los oficios divinos. 6. f. germ. sábana. no, sino el alba. 1. expr. irón. desus. Era u. para responder a quien preguntaba lo evidente. quebrar, rayar, reír, o romper, el alba. 1. locs. verbs. amanecer (‖ empezar a aparecer la luz del día). □ V. duque de alba el lucero del alba hierro albo lucero del alba misa del alba pitiriasis alba toque del alba 
albacara	 1. f. Recinto murado en la parte exterior de una fortaleza, con la entrada en la plaza y salida al campo, y en la cual se solía guardar ganado vacuno. 2. f. Cubo o torreón saliente en las antiguas fortalezas. albacara2. (Del ár. hisp. albakkára, y este del ár. clás. bak[a]rah). 1. f. desus. Rodaja o rueda pequeña. 
albacea	 1. com. Der. Persona encargada por el testador o por el juez de cumplir la última voluntad del finado, custodiando sus bienes y dándoles el destino que corresponde según la herencia. 
albaceazgo	 1. m. Cargo y función de albacea. 
albacetense	 1. adj. albaceteño. Apl. a pers., u. t. c. s. 
albaceteño	 1. adj. Natural de Albacete. U. t. c. s. 2. adj. Perteneciente o relativo a esta ciudad de España o a su provincia. 
albacora	 1. f. breva (‖ fruto de la higuera). albacora2. (Quizá de albacora1). 1. f. Pez acantopterigio, comestible, caracterizado por tener su carne más blanca que el bonito y por la mayor longitud de sus aletas pectorales. 
albacorón	 1. m. Mur. alboquerón. 
albada	 1. f. alborada (‖ composición poética o musical). 2. f. Hues. alborada (‖ música al amanecer y al aire libre). albada2. (De albaida). 1. f. jabonera (‖ planta cariofilácea con tallos erguidos). 
albadena	 1. f. desus. Especie de túnica o vestido de seda. 
albahaca	 1. f. Planta anual de la familia de las Labiadas, con tallos ramosos y velludos de unos tres decímetros de altura, hojas oblongas, lampiñas y muy verdes, y flores blancas, algo purpúreas. Tiene fuerte olor aromático y se cultiva en los jardines. ~ silvestre mayor. 1. f. clinopodio. ~ silvestre menor. 1. f. alcino. 
albahaquero	 1. m. Tiesto para plantas y flores. 2. m. And. Gradilla para colocar tiestos de flores. 
albahaquilla	 ~ de Chile, o ~ del campo. 1. f. Arbusto leguminoso, indígena de Chile. La infusión de sus hojas, flores y tallo se toma como medicamento contra las enfermedades del estómago. ~ de río. 1. f. parietaria. 
albahío	 1. adj. Dicho de una res vacuna: De color blanco amarillento. 2. adj. Se dice también de ese color mismo y de las cosas que lo tienen. 
albaida	 1. f. Planta de la familia de las Papilionáceas, de seis a ocho decímetros de altura, muy ramosa, con las ramas y las hojas blanquecinas por el tomento que las cubre, y flores pequeñas y amarillas que se abren en la primavera. 
albalaero	 1. m. Despachador de albalaes. 
albanado	 1. adj. germ. dormido. 
albanar	 1. intr. desus. estribar (‖ fundarse una cosa sobre otra). 
albanecar	 1. m. Carp. Triángulo rectángulo formado por el par toral, la lima tesa y la solera. 
albanega	 1. f. Especie de cofia o red para recoger el pelo, o para cubrir la cabeza. 2. f. Manga cónica, hecha de red y cerrada por el extremo más estrecho, que se usa para cazar conejos u otros animales cuando salen de la madriguera. 3. f. Arq. Enjuta de arco de forma triangular. 
albanés	 1. adj. Natural de Albania. U. t. c. s. 2. adj. Perteneciente o relativo a este país de Europa. 3. m. Lengua albanesa. 
albano	 1. adj. Natural de Alba Longa. U. t. c. s. 2. adj. Perteneciente o relativo a esta antigua capital del Lacio. albano2, na. 1. adj. p. us. albanés. Apl. a pers., u. t. c. s. 
albañal	 1. m. Canal o conducto que da salida a las aguas inmundas. 2. m. Depósito de inmundicias. U. t. en sent. fig. salir por el ~. 1. loc. verb. coloq. Quedar mal e indecorosamente en alguna acción o empresa. □ V. aguas albañales 
albañila	□ V. abeja albañila 
albañir	 1. m. desus. albañil. 
albaquía	 1. f. Residuo o resto de alguna cuenta o renta que queda sin pagar o no admite división en el prorrateo. 
albar	 1. adj. blanco. Perdiz, tomillo albar. 2. m. Terreno de secano, y especialmente tierra blanquecina en altos y lomas. □ V. espino albar granada albar pino albar roble albar sabina albar 
albarazado	 1. adj. Manchado de blanco o de otro color. 2. adj. Méx. Se decía del descendiente de china y jenízaro, o de chino y jenízara. Era u. t. c. s. 3. adj. p. us. Enfermo de albarazo. □ V. uva albarazada 
albarazo	 1. m. Enfermedad de las caballerías caracterizada por manchas blancas en la piel. U. m. en pl. 2. m. desus. Especie de lepra. Era u. m. en pl. con el mismo significado que en sing. 
albarca	 1. f. abarca. 
albarcoque	 1. m. albaricoque. 
albarcoquero	 1. m. albaricoquero. 
albarda	 1. f. Pieza principal del aparejo de las caballerías de carga, que se compone de dos a manera de almohadas rellenas, generalmente de paja y unidas por la parte que cae sobre el lomo del animal. 2. f. albardilla (‖ lonja de tocino). 3. f. Am. Cen., Bol., Cuba, Ec. y Méx. Especie de silla de montar, de cuero crudo o curtido. ~ gallinera. 1. f. La que tiene las almohadillas llanas. ~ sobre ~. 1. expr. coloq. U. para hacer burla de lo sobrepuesto o repetido innecesaria y torpemente. ~ sobre aparejo. 1. expr. coloq. Am. Cen., Cuba y Méx. albarda sobre albarda. como ahora llueven ~s. 1. expr. p. us. U. para expresar algo que parece imposible. echar una ~ a alguien. 1. loc. verb. coloq. Abusar de su paciencia haciéndole aguantar lo que no debe. venirse, o volverse, la ~ a la barriga. 1. locs. verbs. coloqs. Dicho de una cosa: Salir al contrario de lo que se deseaba. □ V. bestia de albarda caballo de albarda 
albardado	 1. adj. Dicho de una res vacuna o de otro animal: Que tiene el pelo del lomo de diferente color que los demás del cuerpo. 
albardán	 1. m. bufón (‖ truhan). -->drae -->albardín <k>albardín</k> albardín. (Del ár. hisp. albardí, y este del ár. clás. bardī, papiro; cf. copto pi rōti, la vegetación). 1. m. Mata de la familia de las Gramíneas, propia de las estepas españolas, muy parecida al esparto y con las mismas aplicaciones que este. -->drae -->albardón <k>albardón</k> albardón. (Del aum. de albarda). 1. m. Aparejo más hueco y alto que la albarda, el cual se pone a las caballerías para montar en ellas. 2. m. Especie de silla jineta, con perilla saliente y arzón trasero alto y volteado, que usan principalmente los derribadores, vaqueros y campesinos andaluces. 3. m. Arg., Bol. y Ur. Loma o elevación situada en terrenos bajos y anegadizos, que se convierte en islote con la subida de las aguas. 4. m. Guat. y Hond. albardilla (‖ caballete de los muros). □ V. caballo albardón 
albardanería	 1. f. bufonada (‖ dicho o hecho propio del bufón). 
albardanía	 1. f. desus. albardanería. 
albardar	 1. tr. enalbardar. 
albardela	 1. f. Silla para domar potros. 
albardera	 1. f. p. us. rosa albardera. 
albardero	 1. m. Fabricante o vendedor de albardas. entender de todo un poco, y de ~ dos puntadas. 1. loc. verb. coloq. U. para zaherir a quien se alaba vanamente de que entiende de todo. 
albardilla	 1. f. Silla para domar potros. 2. f. Almohadilla formada de cuero por un lado, que llevan los aguadores sobre el hombro para apoyar la cuba. 3. f. agarrador (‖ para la plancha). 4. f. Caballete o tejadillo que se pone en los muros para que el agua de la lluvia no los penetre ni resbale por los paramentos. 5. f. Caballete o lomo de barro que en sendas y caminos resulta de transitar por ellos después de haber llovido. 6. f. Barro que se pega al dental del arado cuando se trabaja en tierra mojada. 7. f. p. us. Lonja de tocino gordo que se pone por encima a las aves para asarlas. 8. f. p. us. Mezcla de huevos, harina, dulce, etc., con que se rebozan algunos alimentos. 9. f. p. us. Cierta fullería empleada en los juegos de naipes. Hacer albardilla. 10. f. p. us. Lana muy tupida y apretada que las reses lanares crían a veces en el lomo. 11. f. p. us. Especie de almohadilla de paja y cuero que ponen los esquiladores de ovejas en los ojos de las tijeras para no hacerse daño en los dedos. 12. f. desus. Caballete con que los hortelanos dividen las eras o cuadros. 
albardinar	 1. m. Sitio en que abunda el albardín. 
albardonería	 1. f. albardería. 
albardonero	 1. m. albardero. 
albarejo	 1. adj. Dicho del trigo: candeal. U. t. c. s. m. 2. adj. Dicho del pan: candeal. U. t. c. s. m. 
albareque	 1. m. Red parecida al sardinal. 
albaricoque	 1. m. Fruto del albaricoquero. Es una drupa casi redonda y con un surco, por lo común amarillenta y en parte encarnada, aterciopelada, de sabor agradable, y con hueso liso de almendra amarga. 2. m. albaricoquero. ~ de Nancí. 1. m. El de color amarillo por un lado y encarnado por el otro, mayor que el común, y cuyo surco se descubre solo en la parte contigua al pezón. ~ de Toledo. 1. m. Variedad muy estimada, que tiene manchas en la piel y cuya almendra es dulce. ~ pérsico. 1. m. albaricoque de Nancí. 
albaricoquero	 1. m. Árbol de la familia de las Rosáceas, originario de Armenia, de ramas sin espinas, hojas acorazonadas, flores blancas, y cuyo fruto es el albaricoque. Su madera se emplea en ebanistería. 
albarigo	 1. adj. Dicho del trigo: candeal. U. t. c. s. m. 2. adj. Dicho del pan: candeal. U. t. c. s. m. 
albarillo	 1. m. Albaricoquero, variedad del común, cuyo fruto es de piel y carne casi blancas. 2. m. Fruto de este árbol. 3. m. Especie de tañido o son en compás muy acelerado, que se tocaba en la guitarra, para bailar y acompañar jácaras y romances. ir algo por el ~. 1. loc. verb. coloq. p. us. Hacerse o suceder atropelladamente. 
albarino	 1. m. Afeite que usaban antiguamente las mujeres para blanquearse el rostro. 
albarizo	 1. adj. Dicho de un terreno: blanquecino. 2. m. albero (‖ terreno albarizo). 3. f. Laguna salobre. 
albarrada	 1. f. Pared de piedra seca. 2. f. Parata sostenida por una pared de esta clase. 3. f. Cerca o valladar de tierra para impedir la entrada en un trozo de campo. 4. f. p. us. Cerca o muro de protección en la guerra. albarrada2. (Del ár. hisp. albarráda, y este del ár. clás. barrādah, literalmente, refrescadora). 1. f. alcarraza. 
albarrán	 1. adj. ant. Se decía del mozo soltero dedicado al servicio agrícola. Era u. t. c. s. 2. adj. ant. Se decía de quien no tenía casa, domicilio o vecindad en ningún pueblo. Era u. t. c. s. 3. m. ant. mayoral (‖ pastor principal). U. en Salamanca. 
albarrana	 1. f. albarranilla. 2. f. cebolla albarrana. □ V. torre albarrana 
albarráneo	 1. adj. ant. Forastero o extranjero. 
albarraniego	 1. adj. desus. Forastero o extranjero. □ V. perro albarraniego 
albarranilla	 1. f. Especie de cebolla albarrana, con hojas estrechas, largas y lustrosas, y flores azules en umbela. 
albarraz	 1. f. p. us. albarazo. albarraz2. (De abarraz). 1. m. estafisagria. 
albarrazado	 1. adj. albarazado. 
albarsa	 1. f. Canasta en que lleva el pescador su ropa y los utensilios del oficio. 
albatoza	 1. f. Especie de embarcación pequeña y cubierta. 
albatros	 1. m. Ave marina de gran tamaño, plumaje blanco y alas muy largas y estrechas. Es muy buena voladora y vive principalmente en los océanos Índico y Pacífico. 
albayaldado	 1. adj. Dado de albayalde. 
albayalde	 1. m. Carbonato básico del plomo. Es sólido, de color blanco y se emplea en la pintura. 
albazano	 1. adj. Dicho por lo común de un caballo o de una yegua: De color castaño oscuro. 
albear	 1. tr. And. y Can. Enjalbegar las paredes. 2. intr. blanquear (‖ mostrar una cosa su blancura). 3. intr. blanquear (‖ tirar a blanco). 
albedo	 1. m. Fís. Razón entre la energía luminosa que difunde por reflexión una superficie y la energía incidente. 
albedriador	 1. adj. ant. arbitrador. Era u. t. c. s. 
albedriar	 1. tr. ant. Juzgar por albedrío. 
albedrío	 1. m. libre albedrío. 2. m. Voluntad no gobernada por la razón, sino por el apetito, antojo o capricho. 3. m. Costumbre jurídica no escrita. 4. m. ant. Sentencia del juez árbitro. 5. m. ant. Libertad de resolución. libre ~. 1. m. Potestad de obrar por reflexión y elección. a mi, tu, su, etc., ~. 1. loc. adv. Según el gusto o voluntad de la persona de que se trata, sin sujeción o condición alguna. Hazlo a tu albedrío. rendir el ~. 1. loc. verb. Someter la propia voluntad a la ajena. 
albéitar	 1. m. veterinario (‖ hombre que ejerce la veterinaria). 
albeitería	 1. f. veterinaria (‖ ciencia). 
albeldadero	 1. m. vulg. Ál. Lugar destinado para albeldar. 
albeldar	 1. tr. beldar. MORF. conjug. c. acertar. 
albeldense	 1. adj. Natural de Albelda. U. t. c. s. 2. adj. Perteneciente o relativo a esta villa de La Rioja, en España. 
albellanino	 1. m. And. cornejo. 
albellón	 1. m. albollón. 
albenda	 1. f. Colgadura de lienzo blanco usada en lo antiguo, con adornos a manera de red o con encajes de hilo, cuyas labores representaban figuras de flores y animales. 
albendera	 1. f. Mujer que tejía o hacía albendas. 2. f. Mujer callejera, ociosa o desaplicada. 
albengala	 1. f. Tejido muy delgado que, por adorno, usaban los moros españoles en los turbantes. 
albéntola	 1. f. Especie de red de hilo muy delgado para pescar peces pequeños. 
alberca	 1. f. Depósito artificial de agua, con muros de fábrica, para el riego. 2. f. poza (‖ balsa para empozar el cáñamo). 3. f. Méx. Piscina deportiva. en ~. 1. loc. adj. Dicho de un edificio: Que, por no estar terminado o por haberse caído, solo tiene las paredes y carece de techo. 
albérchiga	 1. f. albérchigo. 
alberchigal	 1. m. Terreno plantado de albérchigos. 
albérchigo	 1. m. Fruto del alberchiguero. Es de tamaño vario, aunque por lo general de unos seis centímetros de diámetro. Su carne es recia, jugosa y de color amarillo muy subido, y su piel, amarillenta también, tiene una mancha sonrosada muy encendida por la parte que más le da el sol. 2. m. alberchiguero. 3. m. Cád., Huel., Jaén y Sev. albaricoque. 
alberchiguero	 1. m. Árbol, variedad del melocotonero, cuyo fruto es el albérchigo. 2. m. Huel. albaricoquero. 
albercoque	 1. m. Mur. p. us. albaricoque. 
albercoquero	 1. m. albaricoquero. 
albergada	 1. f. ant. campamento (‖ lugar donde se establecen fuerzas del Ejército). 2. f. ant. Reparo o defensa de tierra, piedra, madera u otra materia. 3. f. ant. Casa, albergue. 
albergador	 1. adj. Que alberga a alguien. U. t. c. s. 2. m. y f. desus. Posadero, mesonero, ventero. 
albergadura	 1. f. Cueva de algunos animales. 2. f. ant. albergue (‖ acción y efecto de albergar). 
albergar	 1. tr. Dar albergue u hospedaje. U. t. en sent. fig. 2. tr. Guardar en el corazón o en la mente un sentimiento o una idea. Albergar esperanzas o propósitos. 3. tr. Servir de albergue o vivienda. U. t. en sent. fig. 4. tr. Encerrar, contener. 5. intr. Tomar albergue. U. t. c. prnl. 
alberge	 1. m. Ar. y Rioja. albaricoque. 
albergero	 1. m. Ar. albaricoquero. 
albergo	 1. m. desus. albergue. 
albergue	 1. m. Lugar que sirve de resguardo, cobijo o alojamiento a personas o animales. 2. m. Establecimiento hotelero que atiende al turismo durante estancias cortas. 3. m. Establecimiento benéfico donde se aloja provisionalmente a personas necesitadas. 4. m. Acción y efecto de albergar o cobijar. 5. m. desus. Casa destinada a la crianza y refugio de niños huérfanos o desamparados. 
alberguería	 1. f. ant. Posada, mesón o venta. 2. f. ant. Casa destinada para recoger a los pobres. 
alberguero	 1. m. y f. ant. Posadero, mesonero o ventero. 2. m. ant. albergue (‖ lugar que sirve de alojamiento a personas o animales). 
albero	 1. adj. desus. albar. 2. m. Tierra para jardines y plazas de toros. 3. m. Ruedo de la plaza de toros. 4. m. Terreno albarizo. 5. m. Paño para limpiar y secar los platos. 
alberque	 1. m. alberca. 
alberquero	 1. m. y f. Persona que cuida de las albercas. 
albicante	 1. adj. Que albea. 
